2025-11-30 11:51:36.433 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-11-30 11:51:36.489 [restartedMain] INFO  c.v.m.MiniProjectJavaApplication - Starting MiniProjectJavaApplication using Java 1.8.0_462 on Admin-PC with PID 12668 (F:\BE-QLBH\target\classes started by Admin in F:\BE-QLBH)
2025-11-30 11:51:38.018 [restartedMain] INFO  c.v.m.MiniProjectJavaApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-30 11:51:38.139 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-11-30 11:51:38.140 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-11-30 11:51:41.815 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-30 11:51:42.017 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 176 ms. Found 17 JPA repository interfaces.
2025-11-30 11:51:45.934 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-11-30 11:51:45.977 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-30 11:51:45.981 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-30 11:51:45.981 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2025-11-30 11:51:46.349 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-30 11:51:46.350 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 8208 ms
2025-11-30 11:51:47.058 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-30 11:51:48.179 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-11-30 11:51:48.232 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/datn?useUnicode=yes&characterEncoding=UTF-8&allowPublicKeyRetrieval=true&useSSL=false'
2025-11-30 11:51:49.298 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-11-30 11:51:49.687 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-11-30 11:51:50.722 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-11-30 11:51:51.662 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2025-11-30 11:51:56.334 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-11-30 11:51:56.375 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-11-30 11:51:57.254 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-11-30 11:52:00.220 [restartedMain] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 5b4caae5-8827-489a-8e81-514455b2e44e

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-11-30 11:52:01.110 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@65903723, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@421634cf, org.springframework.security.web.context.SecurityContextPersistenceFilter@7e019ee1, org.springframework.security.web.header.HeaderWriterFilter@683e6284, org.springframework.security.web.authentication.logout.LogoutFilter@488c778e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@72a8bfc5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@314dd640, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70335f6b, org.springframework.security.web.session.SessionManagementFilter@5e1e573, org.springframework.security.web.access.ExceptionTranslationFilter@3f0b4bf3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@39ab5d63]
2025-11-30 11:52:03.603 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-11-30 11:52:03.607 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-11-30 11:52:03.648 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-30 11:52:03.672 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-11-30 11:52:03.710 [restartedMain] INFO  c.v.m.MiniProjectJavaApplication - Started MiniProjectJavaApplication in 30.325 seconds (JVM running for 33.599)
2025-11-30 11:56:05.877 [http-nio-8080-exec-4] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-30 11:56:05.877 [http-nio-8080-exec-4] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-30 11:56:05.879 [http-nio-8080-exec-4] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-11-30 12:18:55.054 [http-nio-8080-exec-4] INFO  c.v.m.r.AccountRestController - Người dùng [demo_user] đã đăng nhập thành công lúc 2025-11-30T12:18:55.054
2025-11-30 12:18:58.500 [http-nio-8080-exec-2] INFO  c.v.m.r.HomeRestController - Người dùng 'demo_user' đã mua 1 Đơn Vị Sản Phẩm 'Samsung Galaxy A54 5G' Vào Gio Hang.
2025-11-30 12:18:58.500 [http-nio-8080-exec-2] INFO  c.v.m.r.HomeRestController - Người dùng 'demo_user' đã mua 1 Đơn Vị Sản Phẩm 'Samsung Galaxy A54 5G' Vào Gio Hang.
2025-11-30 12:19:07.737 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - ========== BẮT ĐẦU TẠO ĐƠN HÀNG MỚI ==========
2025-11-30 12:19:07.737 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - Thời gian: 2025-11-30T12:19:07.737
2025-11-30 12:19:07.741 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - ✅ Found account from header: 3
2025-11-30 12:19:07.741 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - Người dùng: demo_user (ID: 3)
2025-11-30 12:19:07.741 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - Thông tin đơn hàng:
2025-11-30 12:19:07.741 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - -Người nhận: demo_user
2025-11-30 12:19:07.741 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - -Phương thức thanh toán: COD
2025-11-30 12:19:07.854 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - ✅ Lưu đơn hàng thành công (ID: 51)
2025-11-30 12:19:12.056 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - 📩 Đã gửi email xác nhận đơn hàng đến lamnguyen4791@gmail.com
2025-11-30 12:19:12.072 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - Tạo {} chi tiết đơn hàng
2025-11-30 12:19:12.072 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - TẠO ĐƠN HÀNG THÀNH CÔNG
2025-11-30 12:19:12.072 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - Created Order ID 51 with txnRef 1764479947741
2025-11-30 12:19:12.072 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController -    - Người tạo: demo_user (ID: 3)
2025-11-30 12:19:12.073 [http-nio-8080-exec-7] INFO  c.v.m.r.HomeRestController - ========== KẾT THÚC TẠO ĐƠN HÀNG ==========

2025-11-30 12:19:29.823 [http-nio-8080-exec-2] INFO  c.v.m.r.HomeRestController - 📧 Đã gửi email hủy đơn hàng đến lamnguyen4791@gmail.com
2025-11-30 12:27:54.823 [http-nio-8080-exec-5] INFO  c.v.m.r.HomeRestController - Người dùng 'demo_user' đã mua 1 Đơn Vị Sản Phẩm 'Samsung Galaxy A54 5G' Vào Gio Hang.
2025-11-30 12:27:54.823 [http-nio-8080-exec-5] INFO  c.v.m.r.HomeRestController - Người dùng 'demo_user' đã mua 1 Đơn Vị Sản Phẩm 'Samsung Galaxy A54 5G' Vào Gio Hang.
2025-11-30 12:28:06.502 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - ========== BẮT ĐẦU TẠO ĐƠN HÀNG MỚI ==========
2025-11-30 12:28:06.503 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - Thời gian: 2025-11-30T12:28:06.503
2025-11-30 12:28:06.503 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - ✅ Found account from header: 3
2025-11-30 12:28:06.503 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - Người dùng: demo_user (ID: 3)
2025-11-30 12:28:06.503 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - Thông tin đơn hàng:
2025-11-30 12:28:06.503 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - -Người nhận: demo_user
2025-11-30 12:28:06.503 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - -Phương thức thanh toán: COD
2025-11-30 12:28:06.519 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - ✅ Lưu đơn hàng thành công (ID: 52)
2025-11-30 12:28:10.917 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - 📩 Đã gửi email xác nhận đơn hàng đến lamnguyen4791@gmail.com
2025-11-30 12:28:10.934 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - Tạo {} chi tiết đơn hàng
2025-11-30 12:28:10.934 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - TẠO ĐƠN HÀNG THÀNH CÔNG
2025-11-30 12:28:10.934 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - Created Order ID 52 with txnRef 1764480486503
2025-11-30 12:28:10.936 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController -    - Người tạo: demo_user (ID: 3)
2025-11-30 12:28:10.936 [http-nio-8080-exec-10] INFO  c.v.m.r.HomeRestController - ========== KẾT THÚC TẠO ĐƠN HÀNG ==========

2025-11-30 12:28:30.608 [http-nio-8080-exec-4] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Error: 1366, SQLState: HY000
2025-11-30 12:28:30.608 [http-nio-8080-exec-4] ERROR o.h.e.jdbc.spi.SqlExceptionHelper - Incorrect string value: '\xF0\x9F\x90\x9B S...' for column 'note' at row 1
2025-11-30 12:28:30.609 [http-nio-8080-exec-4] INFO  o.h.e.j.b.internal.AbstractBatchImpl - HHH000010: On release of batch it still contained JDBC statements
2025-11-30 12:29:42.502 [http-nio-8080-exec-8] INFO  c.v.m.r.HomeRestController - 📧 Đã gửi email hủy đơn hàng đến lamnguyen4791@gmail.com
2025-11-30 12:30:01.138 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-11-30 12:30:01.145 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-11-30 12:30:01.149 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-11-30 12:30:35.534 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-11-30 12:30:35.571 [restartedMain] INFO  c.v.m.MiniProjectJavaApplication - Starting MiniProjectJavaApplication using Java 1.8.0_462 on Admin-PC with PID 17892 (F:\BE-QLBH\target\classes started by Admin in F:\BE-QLBH)
2025-11-30 12:30:35.571 [restartedMain] INFO  c.v.m.MiniProjectJavaApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-30 12:30:35.645 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-11-30 12:30:35.645 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-11-30 12:30:37.304 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-30 12:30:37.539 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 223 ms. Found 17 JPA repository interfaces.
2025-11-30 12:30:39.501 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-11-30 12:30:39.518 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-30 12:30:39.519 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-30 12:30:39.519 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2025-11-30 12:30:39.671 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-30 12:30:39.671 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4026 ms
2025-11-30 12:30:39.895 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-30 12:30:40.146 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-11-30 12:30:40.154 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/datn?useUnicode=yes&characterEncoding=UTF-8&allowPublicKeyRetrieval=true&useSSL=false'
2025-11-30 12:30:40.508 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-11-30 12:30:40.629 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-11-30 12:30:40.918 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-11-30 12:30:41.407 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2025-11-30 12:30:43.974 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-11-30 12:30:43.985 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-11-30 12:30:44.385 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-11-30 12:30:46.415 [restartedMain] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 8a42523a-dfaf-4131-97fb-731468d1d48d

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-11-30 12:30:46.603 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@73b7601e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@152050a0, org.springframework.security.web.context.SecurityContextPersistenceFilter@3cb3943, org.springframework.security.web.header.HeaderWriterFilter@260dec30, org.springframework.security.web.authentication.logout.LogoutFilter@5d4587e9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2ed4739c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@612a23b3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@11267ff3, org.springframework.security.web.session.SessionManagementFilter@4d986e4f, org.springframework.security.web.access.ExceptionTranslationFilter@23e9e107, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@62b640c2]
2025-11-30 12:30:47.775 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-11-30 12:30:47.785 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-11-30 12:30:47.807 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-30 12:30:47.823 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-11-30 12:30:47.840 [restartedMain] INFO  c.v.m.MiniProjectJavaApplication - Started MiniProjectJavaApplication in 13.004 seconds (JVM running for 14.28)
2025-11-30 12:31:50.533 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-30 12:31:50.533 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-30 12:31:50.535 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-11-30 12:31:54.618 [http-nio-8080-exec-6] INFO  c.v.m.r.HomeRestController - Người dùng 'demo_user' đã mua 1 Đơn Vị Sản Phẩm 'Samsung Galaxy A54 5G' Vào Gio Hang.
2025-11-30 12:31:54.618 [http-nio-8080-exec-6] INFO  c.v.m.r.HomeRestController - Người dùng 'demo_user' đã mua 1 Đơn Vị Sản Phẩm 'Samsung Galaxy A54 5G' Vào Gio Hang.
